AAC_1_.3000317.HM036080.131_596.51 Made AAC_1_.3000317.HM036080.131_596.51 into gene. strand=+, frame=0
AAC_6___31.3002585.AM283489.2655_3174.267 Made AAC_6___31.3002585.AM283489.2655_3174.267 into gene. strand=+, frame=0
AAC_6___31.3002585.AM283490.2414_2969.266 Made AAC_6___31.3002585.AM283490.2414_2969.266 into gene. strand=+, frame=0
AAC_6___32.3002586.EF614235.2246_2801.310 Made AAC_6___32.3002586.EF614235.2246_2801.310 into gene. strand=+, frame=0
AAC_6___33.3002587.JN596280.1202_1757.362 Made AAC_6___33.3002587.JN596280.1202_1757.362 into gene. strand=+, frame=0
AAC_6___I30.3002588.AY289608.1523_2078.399 Made AAC_6___I30.3002588.AY289608.1523_2078.399 into gene. strand=+, frame=0
AAC_6___IIa.3002594.AY123251.2950_3505.460 Made AAC_6___IIa.3002594.AY123251.2950_3505.460 into gene. strand=+, frame=0
AAC_6___IIb.3002595.L06163.531_1074.497 Made AAC_6___IIb.3002595.L06163.531_1074.497 into gene. strand=+, frame=0
AAC_6___IIc.3002596.AF162771.61_643.313 Made AAC_6___IIc.3002596.AF162771.61_643.313 into gene. strand=+, frame=0
AAC_6___IId.3002548.KC543497.1.404932_405451.3392 Made AAC_6___IId.3002548.KC543497.1.404932_405451.3392 into gene. strand=+, frame=0
AAC_6___Ia.3002545.M18967.756_1314.547 Made AAC_6___Ia.3002545.M18967.756_1314.547 into gene. strand=+, frame=0
AAC_6___Iaa.3002571.NC_003197.1707357_1707795.308 Made AAC_6___Iaa.3002571.NC_003197.1707357_1707795.308 into gene. strand=+, frame=0
AAC_6___Iad.3002572.AB119105.0_435.264 Made AAC_6___Iad.3002572.AB119105.0_435.264 into gene. strand=+, frame=0
AAC_6___Iae.3002573.AB104852.1934_2486.583 Made AAC_6___Iae.3002573.AB104852.1934_2486.583 into gene. strand=+, frame=0
AAC_6___Iaf.3002574.AB462903.1199_1751.672 Made AAC_6___Iaf.3002574.AB462903.1199_1751.672 into gene. strand=+, frame=0
AAC_6___Iai.3002575.EU886977.543_1110.708 Made AAC_6___Iai.3002575.EU886977.543_1110.708 into gene. strand=+, frame=0
AAC_6___Iaj.3003677.AB709942.1194_1749.3379 Made AAC_6___Iaj.3003677.AB709942.1194_1749.3379 into gene. strand=+, frame=0
AAC_6___Iak.3003199.AB894482.35038_35500.3283 Made AAC_6___Iak.3003199.AB894482.35038_35500.3283 into gene. strand=-, frame=0
AAC_6___Ib.3002546.EU259884.827_1433.230 Made AAC_6___Ib.3002546.EU259884.827_1433.230 into gene. strand=+, frame=0
AAC_6___Ib.3002546.JQ808129.633_1188.231 Made AAC_6___Ib.3002546.JQ808129.633_1188.231 into gene. strand=+, frame=0
AAC_6___Ib.3002546.M23634.354_960.229 Made AAC_6___Ib.3002546.M23634.354_960.229 into gene. strand=+, frame=0
AAC_6___Ib10.3002581.U59183.247_859.314 Made AAC_6___Ib10.3002581.U59183.247_859.314 into gene. strand=+, frame=0
AAC_6___Ib11.3002582.AY136758.377_947.366 Made AAC_6___Ib11.3002582.AY136758.377_947.366 into gene. strand=+, frame=0
AAC_6___Ib3.3002576.FJ854362.1702_2257.141 Made AAC_6___Ib3.3002576.FJ854362.1702_2257.141 into gene. strand=+, frame=0
AAC_6___Ib4.3002577.AF445082.2788_3343.401 Made AAC_6___Ib4.3002577.AF445082.2788_3343.401 into gene. strand=+, frame=0
AAC_6___Ib8.3002579.NC_025003.1.4171_4849.3719 Made AAC_6___Ib8.3002579.NC_025003.1.4171_4849.3719 into gene. strand=+, frame=0
AAC_6___Ib9.3002580.AF043381.251_863.463 Made AAC_6___Ib9.3002580.AF043381.251_863.463 into gene. strand=+, frame=0
AAC_6___Ib_Hangzhou.3002592.FJ503047.0_519.29 Made AAC_6___Ib_Hangzhou.3002592.FJ503047.0_519.29 into gene. strand=+, frame=0
AAC_6___Ib_SK.3002593.AB164230.35_566.360 Made AAC_6___Ib_SK.3002593.AB164230.35_566.360 into gene. strand=+, frame=0
AAC_6___Ib_Suzhou.3002591.EU085533.0_519.83 Made AAC_6___Ib_Suzhou.3002591.EU085533.0_519.83 into gene. strand=+, frame=0
AAC_6___Ib_cr.3002547.DQ303918.0_600.272 Made AAC_6___Ib_cr.3002547.DQ303918.0_600.272 into gene. strand=+, frame=0
AAC_6___Ic.3002549.M94066.1553_1994.306 Made AAC_6___Ic.3002549.M94066.1553_1994.306 into gene. strand=+, frame=0
AAC_6___Ie_APH_2____Ia.3002597.NC_005024.42504_43944.305 Made AAC_6___Ie_APH_2____Ia.3002597.NC_005024.42504_43944.305 into gene. strand=+, frame=0
AAC_6___If.3002553.X55353.278_713.358 Made AAC_6___If.3002553.X55353.278_713.358 into gene. strand=+, frame=0
AAC_6___Ig.3002554.L09246.543_981.396 Made AAC_6___Ig.3002554.L09246.543_981.396 into gene. strand=+, frame=0
AAC_6___Ih.3002555.L29044.351_792.456 Made AAC_6___Ih.3002555.L29044.351_792.456 into gene. strand=+, frame=0
AAC_6___Ii.3002556.L12710.0_549.172 Made AAC_6___Ii.3002556.L12710.0_549.172 into gene. strand=+, frame=0
AAC_6___Iid.3002589.AJ584700.33_582.207 Made AAC_6___Iid.3002589.AJ584700.33_582.207 into gene. strand=+, frame=0
AAC_6___Iih.3002590.AJ584701.10_562.250 Made AAC_6___Iih.3002590.AJ584701.10_562.250 into gene. strand=+, frame=0
AAC_6___Ij.3002557.L29045.259_700.494 Made AAC_6___Ij.3002557.L29045.259_700.494 into gene. strand=+, frame=0
AAC_6___Ik.3002558.L29510.368_806.541 Made AAC_6___Ik.3002558.L29510.368_806.541 into gene. strand=+, frame=0
AAC_6___Ip.3002559.AF337947.1214_1751.292 Made AAC_6___Ip.3002559.AF337947.1214_1751.292 into gene. strand=+, frame=0
AAC_6___Ip.3002559.Z54241.529_1051.293 Made AAC_6___Ip.3002559.Z54241.529_1051.293 into gene. strand=+, frame=0
AAC_6___Iq.3002560.AF047556.126_678.343 Made AAC_6___Iq.3002560.AF047556.126_678.343 into gene. strand=+, frame=0
AAC_6___Ir.3002561.AF031326.0_441.581 Made AAC_6___Ir.3002561.AF031326.0_441.581 into gene. strand=+, frame=0
AAC_6___Is.3002562.AF031327.0_441.669 Made AAC_6___Is.3002562.AF031327.0_441.669 into gene. strand=+, frame=0
AAC_6___Isa.3002563.AB116646.429_903.705 Made AAC_6___Isa.3002563.AB116646.429_903.705 into gene. strand=+, frame=0
AAC_6___It.3002564.AF031328.0_441.736 Made AAC_6___It.3002564.AF031328.0_441.736 into gene. strand=+, frame=0
AAC_6___Iu.3002565.AF031329.0_441.27 Made AAC_6___Iu.3002565.AF031329.0_441.27 into gene. strand=+, frame=0
AAC_6___Iv.3002566.AF031330.0_441.81 Made AAC_6___Iv.3002566.AF031330.0_441.81 into gene. strand=+, frame=0
AAC_6___Iw.3002567.AF031331.0_441.139 Made AAC_6___Iw.3002567.AF031331.0_441.139 into gene. strand=+, frame=0
AAC_6___Ix.3002568.AF031332.0_441.170 Made AAC_6___Ix.3002568.AF031332.0_441.170 into gene. strand=+, frame=0
AAC_6___Iy.3002569.AF144880.3541_3979.397 Made AAC_6___Iy.3002569.AF144880.3541_3979.397 into gene. strand=+, frame=0
AAC_6___Iz.3002570.AF140221.389_851.205 Made AAC_6___Iz.3002570.AF140221.389_851.205 into gene. strand=+, frame=0
ACC_1.3001815.AJ133121.649_1810.856 Made ACC_1.3001815.AJ133121.649_1810.856 into gene. strand=+, frame=0
ACC_2.3001816.AF180952.1564_2737.1852 Made ACC_2.3001816.AF180952.1564_2737.1852 into gene. strand=+, frame=0
ACC_4.3001818.EF504260.1994_3155.1989 Made ACC_4.3001818.EF504260.1994_3155.1989 into gene. strand=-, frame=1
ACC_5.3001819.HE819401.0_1161.778 Made ACC_5.3001819.HE819401.0_1161.778 into gene. strand=+, frame=0
ACT_1.3001821.U58495.27_1173.860 Made ACT_1.3001821.U58495.27_1173.860 into gene. strand=+, frame=0
ACT_10.3001832.JN848330.0_1146.940 Made ACT_10.3001832.JN848330.0_1146.940 into gene. strand=+, frame=0
ACT_12.3001834.JX440355.751_1897.1017 Made ACT_12.3001834.JX440355.751_1897.1017 into gene. strand=+, frame=0
ACT_13.3001835.HE819402.0_1146.1094 Made ACT_13.3001835.HE819402.0_1146.1094 into gene. strand=+, frame=0
ACT_14.3001836.JX440354.756_1902.1176 Made ACT_14.3001836.JX440354.756_1902.1176 into gene. strand=+, frame=0
ACT_15.3001837.JX440356.754_1900.1262 Made ACT_15.3001837.JX440356.754_1900.1262 into gene. strand=+, frame=0
ACT_17.3001838.KF992026.753_1899.1418 Made ACT_17.3001838.KF992026.753_1899.1418 into gene. strand=+, frame=0
ACT_18.3001839.KF992028.761_1907.1505 Made ACT_18.3001839.KF992028.761_1907.1505 into gene. strand=+, frame=0
ACT_19.3001840.KF992029.748_1894.1583 Made ACT_19.3001840.KF992029.748_1894.1583 into gene. strand=+, frame=0
ACT_2.3001822.AM076977.0_1146.1812 Made ACT_2.3001822.AM076977.0_1146.1812 into gene. strand=+, frame=0
ACT_20.3001841.KF526117.0_1146.1853 Made ACT_20.3001841.KF526117.0_1146.1853 into gene. strand=+, frame=0
ACT_21.3001842.KF526118.0_1146.1854 Made ACT_21.3001842.KF526118.0_1146.1854 into gene. strand=+, frame=0
ACT_22.3001843.KF992027.700_1846.1911 Made ACT_22.3001843.KF992027.700_1846.1911 into gene. strand=+, frame=0
ACT_23.3001828.KF515536.0_1146.1990 Made ACT_23.3001828.KF515536.0_1146.1990 into gene. strand=+, frame=0
ACT_24.3001844.KJ207207.479_1625.779 Made ACT_24.3001844.KJ207207.479_1625.779 into gene. strand=+, frame=0
ACT_25.3001845.KJ207208.539_1685.861 Made ACT_25.3001845.KJ207208.539_1685.861 into gene. strand=+, frame=0
ACT_27.3001847.KJ207209.454_1600.941 Made ACT_27.3001847.KJ207209.454_1600.941 into gene. strand=+, frame=0
ACT_28.3001848.KJ207206.751_1897.1018 Made ACT_28.3001848.KJ207206.751_1897.1018 into gene. strand=+, frame=0
ACT_29.3001849.KM087832.0_1146.1095 Made ACT_29.3001849.KM087832.0_1146.1095 into gene. strand=+, frame=0
ACT_3.3001823.EF125013.0_1146.1177 Made ACT_3.3001823.EF125013.0_1146.1177 into gene. strand=+, frame=0
ACT_30.3001850.KM087833.0_1146.1263 Made ACT_30.3001850.KM087833.0_1146.1263 into gene. strand=+, frame=0
ACT_31.3001851.KM087843.0_1146.1342 Made ACT_31.3001851.KM087843.0_1146.1342 into gene. strand=+, frame=0
ACT_32.3001852.KM087835.0_1146.1419 Made ACT_32.3001852.KM087835.0_1146.1419 into gene. strand=+, frame=0
ACT_33.3001853.KM087834.1.0_1146.3684 Made ACT_33.3001853.KM087834.1.0_1146.3684 into gene. strand=+, frame=0
ACT_35.3001855.LC004922.0_1146.1584 Made ACT_35.3001855.LC004922.0_1146.1584 into gene. strand=+, frame=0
ACT_36.3003171.KM926621.751_1897.1660 Made ACT_36.3003171.KM926621.751_1897.1660 into gene. strand=+, frame=0
ACT_37.3003172.KM926622.238_1384.1735 Made ACT_37.3003172.KM926622.238_1384.1735 into gene. strand=+, frame=0
ACT_4.3001829.EU427302.1475_2618.1813 Made ACT_4.3001829.EU427302.1475_2618.1813 into gene. strand=+, frame=0
ACT_5.3001824.FJ237369.0_1146.1893 Made ACT_5.3001824.FJ237369.0_1146.1893 into gene. strand=+, frame=0
ACT_6.3001825.FJ237366.40_1186.1972 Made ACT_6.3001825.FJ237366.40_1186.1972 into gene. strand=+, frame=0
ACT_7.3001830.FJ237368.0_1146.759 Made ACT_7.3001830.FJ237368.0_1146.759 into gene. strand=+, frame=0
ACT_9.3001826.HQ693810.1008_2151.819 Made ACT_9.3001826.HQ693810.1008_2151.819 into gene. strand=+, frame=0
ADC_2.3003848.NG_048644.1.100_1252.3628 Made ADC_2.3003848.NG_048644.1.100_1252.3628 into gene. strand=+, frame=0
AER_1.3002481.U14748.324_1239.901 Made AER_1.3002481.U14748.324_1239.901 into gene. strand=+, frame=0
AIM_1.3000853.AM998375.1172_2084.1033 Made AIM_1.3000853.AM998375.1172_2084.1033 into gene. strand=+, frame=0
ANT_2____Ia.3000230.AF078527.3769_4303.457 Made ANT_2____Ia.3000230.AF078527.3769_4303.457 into gene. strand=+, frame=0
ANT_2____Ia.3000230.X04555.0_750.458 Made ANT_2____Ia.3000230.X04555.0_750.458 into gene. strand=+, frame=0
ANT_3____Ii_AAC_6___IId_fusion_protein.3002598.AF453998.3554_4946.16 Made ANT_3____Ii_AAC_6___IId_fusion_protein.3002598.AF453998.3554_4946.16 into gene. strand=+, frame=0
ANT_4___IIa.3002624.M98270.0_759.190 Made ANT_4___IIa.3002624.M98270.0_759.190 into gene. strand=+, frame=0
ANT_4___IIb.3002625.AY114142.1060_1816.234 Made ANT_4___IIb.3002625.AY114142.1060_1816.234 into gene. strand=+, frame=0
ANT_4___Ia.3002623.EF540343.214_985.185 Made ANT_4___Ia.3002623.EF540343.214_985.185 into gene. strand=+, frame=0
ANT_4___Ib.3003905.NC_013342.1.26737_27499.3702 Made ANT_4___Ib.3003905.NC_013342.1.26737_27499.3702 into gene. strand=-, frame=0
ANT_6__Ia.3002626.NC_023287.60996_61860.3403 Made ANT_6__Ia.3002626.NC_023287.60996_61860.3403 into gene. strand=-, frame=0
ANT_6__Ib.3002629.FN594949.27481_28339.60 Made ANT_6__Ib.3002629.FN594949.27481_28339.60 into gene. strand=+, frame=0
ANT_6__Ib.3002629.KF864551.1.6575_7442.3593 Made ANT_6__Ib.3002629.KF864551.1.6575_7442.3593 into gene. strand=+, frame=0
ANT_9__Ia.3002630.JX560992.8592_9321.495 Made ANT_9__Ia.3002630.JX560992.8592_9321.495 into gene. strand=+, frame=0
APH_2____IIIa.3002636.U51479.0_921.181 Made APH_2____IIIa.3002636.U51479.0_921.181 into gene. strand=+, frame=0
APH_2____IIa.3002635.AF337947.271_1171.696 Made APH_2____IIa.3002635.AF337947.271_1171.696 into gene. strand=+, frame=0
APH_2____IVa.3002637.AF016483.0_906.729 Made APH_2____IVa.3002637.AF016483.0_906.729 into gene. strand=+, frame=0
APH_2____Ie.3002634.AY939911.3535_4441.18 Made APH_2____Ie.3002634.AY939911.3535_4441.18 into gene. strand=+, frame=0
APH_2____Ig.3002669.CP004067.43007_43928.622 Made APH_2____Ig.3002669.CP004067.43007_43928.622 into gene. strand=-, frame=1
APH_3___IIIa.3002647.CP004067.52914_53709.233 Made APH_3___IIIa.3002647.CP004067.52914_53709.233 into gene. strand=+, frame=0
APH_3___IIb.3002645.X90856.387_1194.159 Made APH_3___IIb.3002645.X90856.387_1194.159 into gene. strand=+, frame=0
APH_3___IIc.3002646.HQ424460.1_805.194 Made APH_3___IIc.3002646.HQ424460.1_805.194 into gene. strand=+, frame=0
APH_3___IVa.3002648.X03364.0_789.237 Made APH_3___IVa.3002648.X03364.0_789.237 into gene. strand=+, frame=0
APH_3___Ia.3002641.BX664015.103017_103833.279 Made APH_3___Ia.3002641.BX664015.103017_103833.279 into gene. strand=-, frame=1
APH_3___Ib.3002642.M20305.778_1594.329 Made APH_3___Ib.3002642.M20305.778_1594.329 into gene. strand=+, frame=0
APH_3___VI.3003687.KC170992.1.8362_9142.3387 Made APH_3___VI.3003687.KC170992.1.8362_9142.3387 into gene. strand=+, frame=0
APH_3___VIIa.3002654.M29953.295_1048.326 Made APH_3___VIIa.3002654.M29953.295_1048.326 into gene. strand=+, frame=0
APH_3___VIa.3002652.X07753.102_882.368 Made APH_3___VIa.3002652.X07753.102_882.368 into gene. strand=+, frame=0
APH_3___Va.3002649.K00432.306_1113.371 Made APH_3___Va.3002649.K00432.306_1113.371 into gene. strand=+, frame=0
APH_3___Vb.3002650.M22126.372_1164.407 Made APH_3___Vb.3002650.M22126.372_1164.407 into gene. strand=+, frame=0
APH_3___Vc.3002651.S81599.281_1076.470 Made APH_3___Vc.3002651.S81599.281_1076.470 into gene. strand=+, frame=0
APH_3____Ia.3002638.X53527.0_819.91 Made APH_3____Ia.3002638.X53527.0_819.91 into gene. strand=+, frame=0
APH_3____Ib.3002639.AF313472.15593_16397.545 Made APH_3____Ib.3002639.AF313472.15593_16397.545 into gene. strand=+, frame=0
APH_3____Ic.3002640.DQ336355.602_1367.276 Made APH_3____Ic.3002640.DQ336355.602_1367.276 into gene. strand=+, frame=0
APH_4__Ia.3002655.V01499.230_1256.221 Made APH_4__Ia.3002655.V01499.230_1256.221 into gene. strand=+, frame=0
APH_4__Ib.3002656.X74325.645_1908.262 Made APH_4__Ib.3002656.X74325.645_1908.262 into gene. strand=+, frame=0
APH_6__Ia.3002657.Y00459.2824_3748.94 Made APH_6__Ia.3002657.Y00459.2824_3748.94 into gene. strand=+, frame=0
APH_6__Ib.3002658.X05648.381_1305.118 Made APH_6__Ib.3002658.X05648.381_1305.118 into gene. strand=+, frame=0
APH_6__Ic.3002659.X01702.484_1285.404 Made APH_6__Ic.3002659.X01702.484_1285.404 into gene. strand=+, frame=0
APH_6__Id.3002660.AF024602.3155_3992.467 Made APH_6__Id.3002660.AF024602.3155_3992.467 into gene. strand=+, frame=0
APH_7____Ia.3002661.X03615.231_1230.600 Made APH_7____Ia.3002661.X03615.231_1230.600 into gene. strand=+, frame=0
APH_9__Ia.3002662.CR628337.1710245_1711238.515 Made APH_9__Ia.3002662.CR628337.1710245_1711238.515 into gene. strand=+, frame=0
APH_9__Ia.3002662.U94857.0_996.514 Made APH_9__Ia.3002662.U94857.0_996.514 into gene. strand=+, frame=0
APH_9__Ib.3002663.U70376.7525_8518.650 Made APH_9__Ib.3002663.U70376.7525_8518.650 into gene. strand=-, frame=1
AQU_1.3002993.AB765395.0_1143.1113 Made AQU_1.3002993.AB765395.0_1143.1113 into gene. strand=+, frame=0
BEL_1.3002385.DQ089809.1005_1857.1193 Made BEL_1.3002385.DQ089809.1005_1857.1193 into gene. strand=+, frame=0
BEL_2.3002386.FJ666063.0_852.1280 Made BEL_2.3002386.FJ666063.0_852.1280 into gene. strand=+, frame=0
BEL_3.3002387.GQ202694.0_852.1359 Made BEL_3.3002387.GQ202694.0_852.1359 into gene. strand=+, frame=0
BJP_1.3000856.AP012279.2172316_2173201.1440 Made BJP_1.3000856.AP012279.2172316_2173201.1440 into gene. strand=-, frame=1
BLA1.3000090.AY453161.500_1430.1545 Made BLA1.3000090.AY453161.500_1430.1545 into gene. strand=+, frame=0
Bacillus_Cluster_A.3003072.ACMJ01000036.72074_72986.642 Made Bacillus_Cluster_A.3003072.ACMJ01000036.72074_72986.642 into gene. strand=-, frame=1
Bacillus_Cluster_A.3003072.ACNI01000036.30014_30740.641 Made Bacillus_Cluster_A.3003072.ACNI01000036.30014_30740.641 into gene. strand=-, frame=1
Bacillus_Cluster_A.3003072.AE017334.1495400_1496297.640 Made Bacillus_Cluster_A.3003072.AE017334.1495400_1496297.640 into gene. strand=-, frame=1
Bacillus_Cluster_A.3003072.AHFH01000028.508530_509427.639 Made Bacillus_Cluster_A.3003072.AHFH01000028.508530_509427.639 into gene. strand=+, frame=0
Bacillus_Cluster_A.3003072.CP002508.1666756_1667653.643 Made Bacillus_Cluster_A.3003072.CP002508.1666756_1667653.643 into gene. strand=-, frame=1
Bacillus_Cluster_B.3003767.AHEL01000071.1.3243_4143.3540 Made Bacillus_Cluster_B.3003767.AHEL01000071.1.3243_4143.3540 into gene. strand=-, frame=0
Bacillus_Cluster_B.3003767.AHFH01000066.1.19120_20020.3539 Made Bacillus_Cluster_B.3003767.AHFH01000066.1.19120_20020.3539 into gene. strand=-, frame=0
BcI.3002877.X06599.272_1193.1622 Made BcI.3002877.X06599.272_1193.1622 into gene. strand=+, frame=0
BcII.3002878.M19530.415_1186.1699 Made BcII.3002878.M19530.415_1186.1699 into gene. strand=+, frame=0
BlaB_beta_lactamase.3000579.X96858.113_863.1774 Made BlaB_beta_lactamase.3000579.X96858.113_863.1774 into gene. strand=+, frame=0
CARB_1.3002240.AF313471.1421_2288.1855 Made CARB_1.3002240.AF313471.1421_2288.1855 into gene. strand=+, frame=0
CARB_10.3002249.EU850412.2269_3166.1856 Made CARB_10.3002249.EU850412.2269_3166.1856 into gene. strand=+, frame=0
CARB_12.3002250.D13210.231_1098.1912 Made CARB_12.3002250.D13210.231_1098.1912 into gene. strand=+, frame=0
CARB_14.3002252.JQ364968.3332_4229.1991 Made CARB_14.3002252.JQ364968.3332_4229.1991 into gene. strand=+, frame=0
CARB_16.3002255.HF953351.2461_3358.780 Made CARB_16.3002255.HF953351.2461_3358.780 into gene. strand=-, frame=1
CARB_17.3002254.KJ934265.0_852.862 Made CARB_17.3002254.KJ934265.0_852.862 into gene. strand=+, frame=0
CARB_19.3003175.KJ934267.0_852.1019 Made CARB_19.3003175.KJ934267.0_852.1019 into gene. strand=+, frame=0
CARB_2.3002241.DQ157752.797_1664.1096 Made CARB_2.3002241.DQ157752.797_1664.1096 into gene. strand=+, frame=0
CARB_21.3003176.CP006005.1728735_1729668.1264 Made CARB_21.3003176.CP006005.1728735_1729668.1264 into gene. strand=+, frame=0
CARB_22.3003151.BA000032.476707_477559.1343 Made CARB_22.3003151.BA000032.476707_477559.1343 into gene. strand=-, frame=1
CARB_23.3003186.CP007005.1250264_1251203.1420 Made CARB_23.3003186.CP007005.1250264_1251203.1420 into gene. strand=+, frame=0
CARB_3.3002242.S46063.121_1036.1506 Made CARB_3.3002242.S46063.121_1036.1506 into gene. strand=+, frame=0
CARB_4.3002243.U14749.690_1557.1585 Made CARB_4.3002243.U14749.690_1557.1585 into gene. strand=+, frame=0
CARB_5.3002244.AF135373.11_908.1661 Made CARB_5.3002244.AF135373.11_908.1661 into gene. strand=+, frame=0
CARB_6.3002245.AF030945.95_962.1736 Made CARB_6.3002245.AF030945.95_962.1736 into gene. strand=+, frame=0
CARB_7.3002246.AF409092.887_1754.1814 Made CARB_7.3002246.AF409092.887_1754.1814 into gene. strand=+, frame=0
CARB_8.3002247.AY178993.574_1471.1894 Made CARB_8.3002247.AY178993.574_1471.1894 into gene. strand=+, frame=0
CARB_9.3002248.AY248038.2072_2939.1973 Made CARB_9.3002248.AY248038.2072_2939.1973 into gene. strand=+, frame=0
CAU_1_beta_lactamase.3000855.AJ308331.0_870.760 Made CAU_1_beta_lactamase.3000855.AJ308331.0_870.760 into gene. strand=+, frame=0
CEPH_A3.3003093.AY112998.196_961.820 Made CEPH_A3.3003093.AY112998.196_961.820 into gene. strand=+, frame=0
CFE_1.3001856.AB107899.1007_2153.902 Made CFE_1.3001856.AB107899.1007_2153.902 into gene. strand=+, frame=0
CGB_1_beta_lactamase.3000841.EF672680.0_729.956 Made CGB_1_beta_lactamase.3000841.EF672680.0_729.956 into gene. strand=+, frame=0
CIPa.3003907.NC_013406.1.3931126_3932167.3704 Made CIPa.3003907.NC_013406.1.3931126_3932167.3704 into gene. strand=-, frame=0
CMY_1.3002012.X92508.332_1481.1034 Made CMY_1.3002012.X92508.332_1481.1034 into gene. strand=+, frame=0
CMY_10.3002021.AF357597.250_1399.1114 Made CMY_10.3002021.AF357597.250_1399.1114 into gene. strand=+, frame=0
CMY_100.3002112.KF526113.0_1146.1194 Made CMY_100.3002112.KF526113.0_1146.1194 into gene. strand=+, frame=0
CMY_101.3002113.KF526114.0_1146.1281 Made CMY_101.3002113.KF526114.0_1146.1281 into gene. strand=+, frame=0
CMY_102.3002114.KF526115.0_1146.1360 Made CMY_102.3002114.KF526115.0_1146.1360 into gene. strand=+, frame=0
CMY_103.3002115.KF526116.0_1146.1441 Made CMY_103.3002115.KF526116.0_1146.1441 into gene. strand=+, frame=0
CMY_104.3002116.KF150216.0_1146.1546 Made CMY_104.3002116.KF150216.0_1146.1546 into gene. strand=+, frame=0
CMY_105.3002117.KJ207205.1039_2185.1623 Made CMY_105.3002117.KJ207205.1039_2185.1623 into gene. strand=+, frame=0
CMY_108.3002120.KF564648.0_1146.1775 Made CMY_108.3002120.KF564648.0_1146.1775 into gene. strand=+, frame=0
CMY_11.3002022.AF357599.253_1402.1857 Made CMY_11.3002022.AF357599.253_1402.1857 into gene. strand=+, frame=0
CMY_110.3002071.AB872957.0_1146.1913 Made CMY_110.3002071.AB872957.0_1146.1913 into gene. strand=+, frame=0
CMY_111.3002122.KJ155695.0_1146.1992 Made CMY_111.3002122.KJ155695.0_1146.1992 into gene. strand=+, frame=0
CMY_112.3002123.KM087837.0_1146.781 Made CMY_112.3002123.KM087837.0_1146.781 into gene. strand=+, frame=0
